iter	Logloss
0	0.6616785386
1	0.6333527787
2	0.6098121504
3	0.5913237597
4	0.57464352
5	0.55768497
6	0.5433085289
7	0.5293508534
8	0.5196497919
9	0.510492909
10	0.5001000333
11	0.493606784
12	0.4849505937
13	0.479010344
14	0.4733767867
15	0.4682433339
16	0.4645191061
17	0.4602604183
18	0.4564881238
19	0.4534741879
20	0.4496119501
21	0.4468344791
22	0.4441647172
23	0.4414382532
24	0.4389735719
25	0.43724286
26	0.4356273164
27	0.4334097779
28	0.4319634118
29	0.4305914517
30	0.4291854147
31	0.4277834631
32	0.4260873853
33	0.4251700937
34	0.424068861
35	0.422682942
36	0.421618479
37	0.4203270841
38	0.4193015573
39	0.418431342
40	0.4176638218
41	0.4169635889
42	0.4160185034
43	0.4154091423
44	0.4144333536
45	0.4140579193
46	0.4135752711
47	0.4130509011
48	0.4125268716
49	0.4119323978
50	0.4114146204
51	0.4109338911
52	0.4102557262
53	0.4097632975
54	0.4093040172
55	0.4090066101
56	0.4085776617
57	0.4081479705
58	0.4078077274
59	0.4072452259
60	0.4067194012
61	0.4064873314
62	0.4059872888
63	0.4056593332
64	0.4054378177
65	0.4050849775
66	0.4046059196
67	0.4042242023
68	0.4039463871
69	0.4036371258
70	0.4034574868
71	0.4032680674
72	0.4028773124
73	0.4025282173
74	0.4022205964
75	0.4017933813
76	0.4015566379
77	0.4013581808
78	0.4012039835
79	0.4009810442
80	0.4007109977
81	0.4004931034
82	0.4002987009
83	0.4000412513
84	0.3998294544
85	0.3996448942
86	0.3994169719
87	0.3991220408
88	0.3987962208
89	0.3984944496
90	0.3983859668
91	0.3981121752
92	0.3979650037
93	0.397765061
94	0.3975926954
95	0.3974406337
96	0.3972530094
97	0.3968589427
98	0.3967147734
99	0.3965375486
100	0.3963990124
101	0.3962051361
102	0.3960081027
103	0.3959141977
104	0.3956840469
105	0.395535854
106	0.395338573
107	0.3952307401
108	0.3950578175
109	0.3949748691
110	0.3947605032
111	0.3944674602
112	0.3942481422
113	0.394091314
114	0.3939178653
115	0.3938290981
116	0.3936877144
117	0.3935315362
118	0.3932979499
119	0.3930822222
120	0.392895124
121	0.3927360055
122	0.3924871913
123	0.3922929744
124	0.3920961268
125	0.3919076668
126	0.3916343395
127	0.3915970746
128	0.3914568361
129	0.3912873491
130	0.3911310471
131	0.3910748093
132	0.3909206739
133	0.3907605959
134	0.3906224311
135	0.3904981323
136	0.3903402828
137	0.3900144627
138	0.389835938
139	0.3897795455
140	0.3897759861
141	0.3896775004
142	0.3895536659
143	0.3893307885
144	0.3891894977
145	0.3889935786
146	0.3887247701
147	0.3886026688
148	0.3884909361
149	0.3883952359
150	0.3881838414
151	0.3880925981
152	0.3878569381
153	0.3876718517
154	0.3875672996
155	0.3874062621
156	0.387250022
157	0.3870915225
158	0.3869023507
159	0.3867446868
160	0.3866588291
161	0.3865706809
162	0.386455296
163	0.3861554747
164	0.3860341782
165	0.3858255382
166	0.385658682
167	0.3854214125
168	0.3852942043
169	0.3851778909
170	0.3848868906
171	0.3846542018
172	0.3844149205
173	0.3843120087
174	0.3842045473
175	0.384116461
176	0.3839381839
177	0.3838094901
178	0.3836869555
179	0.3833877842
180	0.3831863249
181	0.3830535455
182	0.3829722066
183	0.3827845204
184	0.3826597883
185	0.3825451772
186	0.3824327635
187	0.3823395704
188	0.3821678549
189	0.3819655289
190	0.3818743785
191	0.3817211097
192	0.3814888542
193	0.3812642126
194	0.3811043822
195	0.3809415806
196	0.3806185771
197	0.380526622
198	0.3803353764
199	0.3800963736
