iter	Logloss
204	0.5201708863
205	0.5201268504
206	0.5201222049
207	0.5200984833
208	0.5200743118
209	0.5200266737
210	0.5199895378
211	0.5199899422
212	0.5199692043
213	0.519918873
214	0.5198807865
215	0.5198675625
216	0.5198672908
217	0.5198269015
218	0.5197988742
219	0.5197676975
220	0.5197565493
221	0.5197407082
222	0.5197105669
223	0.5197009872
224	0.5196738886
225	0.5196392313
226	0.5196048038
227	0.5195897064
228	0.5195666139
229	0.5195569402
230	0.5195260982
231	0.5195154134
232	0.519499193
233	0.5194676694
234	0.5194408025
235	0.5194304272
236	0.5194175191
237	0.5193994206
238	0.5193751487
239	0.5193568405
240	0.51934646
241	0.5193281938
242	0.5193126231
243	0.5193046398
244	0.519273628
245	0.5192643254
246	0.5192556477
247	0.5192523498
248	0.5192409574
249	0.5192322886
250	0.5192204154
251	0.5192090557
252	0.5191962072
253	0.5191880499
254	0.5191733192
255	0.5191631017
256	0.5191505633
257	0.5191427896
258	0.5191349015
259	0.5191126909
260	0.5191034088
261	0.5190972442
262	0.5190817125
263	0.5190691095
264	0.5190525725
265	0.519041051
266	0.5190343062
267	0.5190269615
268	0.5190216953
269	0.5190153432
270	0.5190008999
271	0.5189917354
272	0.5189855434
273	0.5189773544
274	0.5189710016
275	0.5189601364
276	0.5189556769
277	0.5189433433
278	0.5189374125
279	0.518930809
280	0.518919065
281	0.5189160559
282	0.5189055746
283	0.5189027434
284	0.518900275
285	0.5188920892
286	0.5188871162
287	0.5188811133
288	0.5188766718
289	0.5188734609
290	0.5188677971
291	0.5188584281
292	0.5188498396
293	0.5188428844
294	0.5188383517
295	0.5188338715
296	0.51882137
297	0.5188168553
298	0.5188089062
299	0.5188061363
300	0.5187999565
301	0.5187943283
302	0.5187921631
303	0.5187856248
304	0.518781371
305	0.5187749696
306	0.5187719573
307	0.5187693651
308	0.5187675437
309	0.5187582447
310	0.5187591413
311	0.5187539425
312	0.5187503913
313	0.5187471558
314	0.5187450465
315	0.518740522
316	0.5187355161
317	0.5187342977
318	0.5187313878
319	0.5187287152
320	0.518722339
321	0.5187195099
322	0.5187137162
323	0.5187111909
324	0.5187054646
325	0.5187005779
326	0.5186965366
327	0.5186945769
328	0.5186911687
329	0.5186885335
330	0.5186846608
331	0.518681825
332	0.5186783904
333	0.5186732676
334	0.518668114
335	0.5186692155
336	0.5186673611
337	0.5186609161
338	0.5186588633
339	0.5186557922
340	0.5186511781
341	0.5186486526
342	0.5186460513
343	0.5186458762
344	0.5186420018
345	0.5186393341
346	0.5186388581
347	0.5186345473
348	0.5186303642
349	0.5186289451
350	0.5186266178
351	0.5186243573
352	0.5186248249
353	0.5186211536
354	0.5186180134
355	0.5186181449
356	0.5186174036
357	0.5186153158
358	0.5186127502
359	0.5186097192
360	0.5186066207
361	0.5186038586
362	0.5186051368
363	0.5186041255
364	0.5186006219
365	0.5185981255
366	0.5185956336
367	0.5185940091
368	0.5185936007
369	0.5185902601
370	0.5185878019
371	0.5185867204
372	0.5185841531
373	0.5185854374
374	0.5185822706
375	0.5185802446
376	0.5185798379
377	0.518578898
378	0.5185766063
379	0.5185739062
380	0.518572763
381	0.5185705398
382	0.5185718879
383	0.5185683791
384	0.5185667584
385	0.5185676998
386	0.5185673941
387	0.5185641935
388	0.5185642917
389	0.5185629692
390	0.5185635078
391	0.5185638369
392	0.5185603291
393	0.5185595197
394	0.5185567524
395	0.5185575632
396	0.5185563831
397	0.5185544262
398	0.518554123
399	0.5185549995
400	0.5185534143
401	0.5185527758
402	0.5185525057
403	0.5185498409
404	0.5185497712
405	0.5185490911
406	0.5185481115
407	0.5185463938
408	0.5185466318
409	0.5185452481
410	0.5185440695
411	0.518543389
412	0.5185431819
413	0.5185419708
414	0.5185395438
415	0.5185395438
416	0.5185395438
417	0.5185380931
418	0.5185377908
419	0.5185374516
420	0.5185381252
421	0.5185369772
422	0.5185351562
423	0.5185367087
424	0.5185352581
425	0.5185337099
426	0.518533273
427	0.5185328348
428	0.5185313483
429	0.5185292921
430	0.5185277063
431	0.5185282433
432	0.5185265916
433	0.5185248381
434	0.5185248373
435	0.5185243643
436	0.5185247708
437	0.5185227147
438	0.5185218377
439	0.5185207926
440	0.5185182647
441	0.5185168822
442	0.5185164775
443	0.5185184989
444	0.5185159373
445	0.5185159373
446	0.5185149252
447	0.5185152611
448	0.5185144516
449	0.5185141136
450	0.5185145851
451	0.5185118215
452	0.5185125295
453	0.5185139469
454	0.51851034
455	0.5185096005
456	0.5185093664
457	0.5185109513
458	0.5185094
459	0.5185080517
460	0.5185075128
461	0.5185050188
462	0.51850367
463	0.518504885
464	0.5185030297
465	0.5185035685
466	0.5185017841
467	0.5185027933
468	0.5185019151
469	0.5185013748
470	0.5185008008
471	0.5184994518
472	0.518498103
473	0.5184977993
474	0.5184975989
475	0.5184971274
476	0.5184960152
477	0.5184958484
478	0.5184946354
479	0.5184937927
480	0.5184937927
481	0.5184937253
482	0.5184937253
483	0.5184923417
484	0.5184923417
485	0.5184917368
486	0.5184922735
487	0.5184916008
488	0.5184915982
489	0.5184933462
490	0.5184903112
491	0.5184899739
492	0.5184899015
493	0.5184899697
494	0.5184880816
495	0.5184879805
496	0.5184889926
497	0.5184877116
498	0.5184854528
499	0.5184887566
